box_id,index
SKU-F,0
SKU-F,2
SKU-F,1
SKU-I,0
SKU-H,0
SKU-A,0
SKU-A,1
SKU-H,1
SKU-J,0
SKU-J,1
SKU-I,1
SKU-A,2
SKU-A,3
SKU-B,0
SKU-B,1
SKU-G,0
SKU-G,1
SKU-G,2
SKU-G,3
SKU-G,4
SKU-G,5
SKU-G,6
SKU-G,7
